MSI GP65 Leopard Core i7 10th Gen - (16 GB/1 TB HDD/256...,"15.6 inch, Black&Silver, 2.33 kg",4.5,(734),"₹99,990","₹1,45,990",31% off
ASUS ROG Flow Z13 (2022) Core i9 12th Gen - (16 GB/1 TB...,"13.4 Inch, Black, 1.18 Kg, With MS Office",,,"₹1,81,990","₹2,15,990",15% off
ASUS Vivobook Pro 16X OLED (2021) Ryzen 9 Octa Core 590...,"16 Inch, Black, 1.95 kg, With MS Office",,,"₹1,30,500","₹1,62,990",19% off
DELL G7 Core i9 10th Gen - (16 GB/1 TB SSD/Windows 10 H...,"15.6 inch, Black, 2.56 kg, With MS Office",4.3,(18),"₹1,89,990","₹2,27,250",16% off
ASUS ROG Strix G15 Core i5 10th Gen - (8 GB/1 TB SSD/Wi...,"15.6 inch, Black Plastic, 2.3 kg",4.5,(850),"₹82,990","₹1,07,990",23% off
ASUS TUF Gaming F17 (2022) Core i7 12th Gen - (16 GB/1 ...,"17.3 inch, Mecha Gray, 2.60 kg, With MS Office",,,"₹1,37,990","₹1,63,990",15% off
acer Aspire 7 Ryzen 5 Hexa Core 5500U - (16 GB/512 GB S...,"15.6 Inch, Charcoal Black, 2.15 kg",,,"₹56,990","₹89,990",36% off
acer Nitro 5 Core i5 12th Gen - (16 GB/512 GB SSD/Windo...,"15.6 inch, Shale Black, 2.5 kg",,,"₹86,990","₹1,09,990",20% off
MSI Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/...,"15.6 inch, Gray, 2.25 kg",4,(6),"₹1,29,990","₹1,56,990",17% off
HP OMEN Ryzen 9 Octa Core 5900H - (16 GB/1 TB SSD/Windo...,"16.1 inch, Mica Silver, 2.23 kg, With MS Office",,,"₹1,21,990","₹1,63,739",25% off
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core 6800H - (16...,"15.6 Inch, Volt Green, 2.10 Kg",4,(4),"₹1,04,000","₹1,32,990",21% off
HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/512 ...,"15.6 inch, Black, 1.98 kg",4.4,"(2,191)","₹59,990",,
ASUS ROG Zephyrus G14 Ryzen 9 Octa Core 6900HS - (32 GB...,"14 inch, White Anime Matrix, 1.72 kg, With MS Office",,,"₹1,91,990","₹2,46,990",22% off
acer Predator Helios 300 Core i7 12th Gen - (16 GB/1 TB...,"15.6 Inch, Abyssal Black, 2.6 Kg",5,(4),"₹1,54,990","₹1,79,999",13% off
DELL G3 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Wi...,"15.6 inch, Black, 2.3 kg",4.3,(404),"₹69,990","₹78,584",10% off
ASUS ROG Flow X13 Ryzen 9 Octa Core 5900HS - (32 GB/1 T...,"13.4 inch, Off Black, 1.30 kg, With MS Office",,,"₹1,36,990","₹1,96,990",30% off
ASUS TUF Dash F15 Core i7 12th Gen - (16 GB/1 TB SSD/Wi...,"15.6 inch, Off Black, 2 Kg, With MS Office",,,"₹1,28,990",,
DELL Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Ho...,"15.6 inch, Dark Shadow Grey, 2.4 kg, With MS Office",,,"₹1,02,990","₹1,28,665",19% off
ASUS ROG Zephyrus Duo 16 Ryzen 7 Octa Core 6800H - (32 ...,"16 Inch, Black, 2.50 kg, With MS Office",,,"₹2,49,990","₹2,98,990",16% off
ASUS ROG Zephyrus G15 Ryzen 7 Octa Core 6800HS - (16 GB...,"15.6 inch, Eclipse Gray, 1.90 kg, With MS Office",,,"₹1,62,990","₹1,95,990",16% off
Lenovo Legion 5 Ryzen 5 Hexa Core 4600H - (8 GB/512 GB ...,"15.6 inch, Phantom Black, 2.3 kg",4.6,(984),"₹67,490","₹88,990",24% off
ASUS Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Ho...,"15.6 inch, Black, With MS Office",,,"₹1,10,990","₹1,49,000",25% off
ASUS ROG Zephyrus Duo 16 Ryzen 9 Octa Core 6900HX - (32...,"16 Inch, Black, 2.60 Kg, With MS Office",,,"₹3,91,990","₹4,67,990",16% off
Lenovo Legion 7i Core i7 10th Gen - (16 GB/1 TB SSD/Win...,"15.6 inch, Slate Grey, 2.25 kg, With MS Office",,,"₹1,49,990","₹3,49,890",57% off
HP Pavilion Gaming Ryzen 5 Hexa Core 4600H - (8 GB/1 TB...,"15.6 inch, Shadow Black, 2.19 kg",4.5,(353),"₹68,990",,
ASUS Ryzen 7 Octa Core 10th Gen - (16 GB/512 GB SSD/Win...,"17.3 inch, Volt Green",,,"₹98,990","₹1,35,000",26% off
ASUS Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Ho...,"15.6 inch, Polar White, With MS Office",,,"₹94,699","₹1,35,000",29% off
DELL G15 Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Wi...,"15.6 Inch, Phantom Grey, 2.4 kg, With MS Office",4.6,(50),"₹79,890","₹1,08,000",26% off
HP 15-ec1105AX Ryzen 5 Hexa Core 4600H - (8 GB/512 GB S...,"15.6 inch, Shadow Black & Ultra Violet, 1.98 Kg",4.5,"(1,178)","₹59,890","₹70,172",14% off
Lenovo IdeaPad Gaming 3 Core i5 11th Gen - (8 GB/512 GB...,"15.6 inch, Shadow Black, 2.25 kg, With MS Office",3.8,(101),"₹59,599","₹93,690",36% off
DELL G15 Core i5 10th Gen - (16 GB/512 GB SSD/Windows 1...,"15.6 inch, Dark Shadow Grey, 2.4 Kg, With MS Office",4.3,(3),"₹77,990","₹1,03,000",24% off
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core 4800H - (8 GB...,"15.6 inch, Onyx Black, 2.2 kg, With MS Office",4.4,(145),"₹82,000","₹89,490",8% off
acer Predator Triton 500 SE Core i7 12th Gen - (32 GB/2...,"16 Inch, Steel Grey, 2.4 KG, With MS Office",,,"₹2,29,990","₹2,49,999",8% off
Lenovo IdeaPad Gaming Ryzen 5 Hexa Core 4600H - (8 GB/5...,"15.6 inch, Onyx Black, 2.2 kg",4.5,(182),"₹65,990","₹83,890",21% off
acer Nitro 5 Core i7 12th Gen - (16 GB/1 TB HDD/512 GB ...,"15.6 inch, Shale Black, 2.6 kg",,,"₹1,06,990","₹1,29,990",17% off
DELL G15 Core i5 10th Gen - (16 GB/512 GB SSD/Windows 1...,"15.6 inches, Dark Shadow Grey, 2.4 kg",4.4,(38),"₹75,090","₹82,553",9% off
acer Nitro 5 Ryzen 5 Hexa Core 5600H - (16 GB/1 TB HDD/...,"15.6 Inch, Shale Black, 2.4 KG",,,"₹1,29,999",,
DELL G5 15 SE Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SS...,"14.96 Inch, Silver, 2.5 kg",4.4,(364),"₹72,499","₹92,537",21% off
