,name,ticker,industry,NIFTY closing,Date,Market Capitalisation,EPS,P/E,P/B,Beta
232,Moksh Ornaments Ltd.,MOKSH,"Diamond, Gems and Jewellery",17359.75,31-03-2023,477.57,1.14,7.79,0.94,0.56
233,Mold-Tek Packaging Ltd.,MOLDTKPAC,Plastic products,17359.75,31-03-2023,29956.81,23.12,39.06,5.68,1.03
234,Mold-Tek Technologies Ltd.,MOLDTECH,Engineering,17359.75,31-03-2023,6894.01,10.3,23.71,6.95,0.95
235,Monte Carlo Fashions Ltd.,MONTECARLO,Textiles,17359.75,31-03-2023,12890.16,60.67,10.25,1.66,1.22
236,Morepen Laboratories Ltd.,MOREPENLAB,Pharmaceuticals,17359.75,31-03-2023,13188.15,0.9,28.52,1.73,1.36
237,Motilal Oswal Financial Services Ltd.,MOTILALOFS,Finance,17359.75,31-03-2023,90292.13,38.3,15.93,2.03,1.12
238,Mukta Arts Ltd.,MUKTAARTS,Entertainment,17359.75,31-03-2023,1001.65,3.84,11.55,0.56,1.61
239,Munjal Showa Ltd.,MUNJALSHOW,Auto Ancillaries,17359.75,31-03-2023,3407.57,3.42,24.91,0.52,1.45
240,Murudeshwar Ceramics Ltd.,MURUDCERA,Ceramic Products,17359.75,31-03-2023,1730.86,1.14,26.23,0.49,1.63
241,Muthoot Capital Services Ltd.,MUTHOOTCAP,Finance,17359.75,31-03-2023,4233.59,46.79,5.5,0.87,1.08
242,Muthoot Finance Ltd.,MUTHOOTFIN,Finance,17359.75,31-03-2023,393399.19,86.32,11.35,1.87,1.01
243,Nahar Industrial Enterprises Ltd.,NAHARINDUS,Textiles,17359.75,31-03-2023,3910.11,12.28,7.37,0.43,1.46
244,Nahar Poly Films Ltd.,NAHARPOLY,Packaging,17359.75,31-03-2023,5620.81,12.94,17.67,1.17,1.43
245,Nahar Spinning Mills Ltd.,NAHARSPING,Textiles,17359.75,31-03-2023,8666.49,29.46,8.16,0.56,1.55
246,Narayana Hrudayalaya Ltd.,NH,Healthcare,17359.75,31-03-2023,158205.92,12.36,62.64,10.77,0.68
247,Natco Pharma Ltd.,NATCOPHARM,Pharmaceuticals,17359.75,31-03-2023,102794.54,34.92,16.13,2.18,0.7
248,Nath Bio-Genes (India) Ltd.,NATHBIOGEN,Miscellaneous,17359.75,31-03-2023,2684.32,18.49,7.64,0.47,1.56
249,National Fertilizers Ltd.,NFL,Fertilizers,17359.75,31-03-2023,35542.41,9.23,7.85,1.3,1.41
250,Navkar Corporation Ltd.,NAVKARCORP,Miscellaneous,17359.75,31-03-2023,7962.46,3.64,14.55,0.41,1.93
251,Navneet Education Ltd.,NAVNETEDUL,Media - Print/Television/Radio,17359.75,31-03-2023,21569.43,10.13,9.42,1.6,0.98
252,Nelcast Ltd.,NELCAST,"Castings, Forgings & Fastners",17359.75,31-03-2023,7725.71,3.46,25.65,1.65,1.65
253,Neogen Chemicals Ltd.,NEOGEN,Chemicals,17359.75,31-03-2023,32076.95,20.07,64.09,6.65,0.89
254,Nesco Ltd.,NESCO,Miscellaneous,17359.75,31-03-2023,36477.12,43.77,11.83,1.86,0.88
255,Nestle India Ltd.,NESTLEIND,FMCG,17359.75,31-03-2023,1899823.48,266.64,73.9,59.45,0.55
256,Neuland Laboratories Ltd.,NEULANDLAB,Pharmaceuticals,17359.75,31-03-2023,23145.76,122.07,14.78,2.34,1.19
