Emkay Global Financial Services Ltd.,2.33,0,0,0,1.68,0.46,2.13,1.63,0,0.76,1.71
Emmbi Industries Ltd.,2.42,2,1.54,0.43,0.38,0.26,0.46,0.47,0.54,0.37,0.61
Endurance Technologies Ltd.,,,,,0,0.21,0.35,0.51,0.4,0.37,0.42
Engineers India Ltd.,2.72,4.12,3,2.59,1.36,1.69,3.55,4.38,7.07,2.88,3.43
Equitas Small Finance Bank Ltd.,,,,,,,,,0,0,0
Eris Lifesciences Ltd.,,,,,,0,0,0,1.38,0.86,1.2
Esab India Ltd.,0,1.78,0.15,0.19,0.17,0.13,10.29,0,4.01,2.06,1.73
Escorts Kubota Ltd.,2.2,1.93,0.46,0.89,0.33,0.18,0.3,0.31,0.21,0.41,0.34
Ester Industries Ltd.,0,0,2.49,0,0,0,0,1.28,3.39,2.44,1.5
Excel Industries Ltd.,2.54,4.48,1.78,1.98,1.11,0.85,1.08,2.12,1.2,1.25,2.09
Exide Industries Ltd.,1.3,1.68,1.18,1.91,1.21,1.07,1.06,1.22,1.29,1.15,1.11
Expleo Solutions Ltd.,7.23,3.17,1.42,2.45,3.51,4.6,4.27,0,0,0,0
F D C Ltd.,2.17,1.84,1.36,1.14,1.05,0.97,0,0,0.28,0,0
F S N E-Commerce Ventures Ltd.,,,,,,,,,,0,0
Federal Bank Ltd.,1.78,2.27,1.41,2.38,0.92,0.9,1.16,1.54,0,0.7,1.34
Federal-Mogul Goetze (India) Ltd.,0,0,0,0,0,0,0,0,0,0,0
Fiem Industries Ltd.,1.56,1.1,0.67,0.95,0.75,0.86,1.84,2.44,2.24,1.4,1.22
Filatex India Ltd.,1.79,0,0,0,0,0,0,0,0,0.35,0.23
Fine Organic Inds. Ltd.,,,,,,,0.62,0.3,0.3,0.28,0.18
Fineotex Chemical Ltd.,1.58,1.66,0.19,0.38,0.65,0.15,0.52,0.35,0.08,0.19,0.16
Finolex Cables Ltd.,1.38,1.41,0.63,0.78,0.57,0.41,0.96,1.13,1.5,1.11,1.09
Finolex Industries Ltd.,3.81,3.55,2.4,0.63,2.02,1.78,1.94,1.79,1.73,2.39,2.32
Firstsource Solutions Ltd.,0,0,0,0,0,0,3.06,4.56,2.87,1.89,3.24
Five-Star Business Finance Ltd.,,,,,,,,,,,0
Fortis Healthcare Ltd.,0,0,0,0,0,0,0,0,0,0,0
Foseco India Ltd.,2.97,3.21,2.07,2.28,1.73,1.11,1.95,1.77,0.4,0.69,1.28
G A I L (India) Ltd.,1.66,2.67,2.45,1.63,1.18,3.5,0.43,3.33,7.09,4.51,4.2
G M M Pfaudler Ltd.,2.76,2.85,0.9,1.1,0.57,0.55,0.42,0.22,0.17,0.08,0.14
G M R Airports Infrastructure Ltd.,0,0.49,0.52,0,0,0,0,0,0,0,0
G R Infraprojects Ltd.,,,,,,,,,,0,0
Gabriel India Ltd.,2.38,3.96,0.91,1.2,1.1,0.79,1,1.24,0.93,0.94,1.07
Galaxy Surfactants Ltd.,,,,,,,0.63,0.5,0.68,0.57,0.77
Gallantt Ispat Ltd.,0,0,0,0,0,0,0.51,0.86,0,0,0
Gandhi Special Tubes Ltd.,0,4.62,2.31,6.55,0,2.12,2.45,3.28,3.71,2.37,1.66
Ganesha Ecosphere Ltd.,2.7,3.5,0.87,0.84,0.65,0.3,0.52,0.7,0.44,0.32,0.22
Garden Reach Shipbuilders & Engineers Ltd.,,,,,,,0,3.27,3.96,2.07,1.15
Garware Technical Fibres Ltd.,5.11,4.56,1.3,0.85,0.56,0.49,0.4,0.33,0.75,0.08,0.24
Gateway Distriparks Ltd.,,,,,,,,,,,1.94
Gati Ltd.,3.15,0.96,0.52,0.7,0.83,0.61,1.22,1.16,0,0,0
General Insurance Corpn. Of India,,,,,,0,2.77,2.7,0,0,1.22
Genus Power Infrastructures Ltd.,0.75,0.84,0.36,0.35,0.6,0.56,1.29,2.11,0.29,0.73,0.27
Gillette India Ltd.,0.65,0.73,0.44,0.77,0.47,2.5,0.35,0.7,0.87,2.26,1.41
Gland Pharma Ltd.,,,,,,,,,0,0,0
Glaxosmithkline Pharmaceuticals Ltd.,2.19,1.68,1.47,1.94,1.84,1.22,1.24,1.2,2.73,1.92,7.22
Glenmark Pharmaceuticals Ltd.,0.4,0.36,0.28,0.26,0.22,0.33,0.31,0.64,0.53,0.51,0.65
Global Health Ltd.,,,,,,,,,,,0
Globus Spirits Ltd.,1.06,1.71,0,0,0,0,0,0,0.27,0.13,0.37
Godfrey Phillips India Ltd.,1.19,1.56,1.36,0.65,0.79,0.87,0.86,0.82,2.61,2.16,1.46
Godrej Agrovet Ltd.,,,,,,0,0.91,0.8,1.03,1.5,2.11
Godrej Consumer Products Ltd.,0.53,0.67,0.49,0.45,0.36,0.81,1.5,1.19,0.27,0,0
Godrej Industries Ltd.,0.58,0.64,0.56,0.5,0.41,0.29,0.35,0.28,0,0,0
Godrej Properties Ltd.,0.48,1.23,0.72,0.66,0,0,0,0,0,0,0
Gokaldas Exports Ltd.,0,0,0,0,0,0,0,0,0,0,0
Goldiam International Ltd.,5.65,7.3,4.29,3.1,3.17,2.58,1.92,3.43,3.48,0.56,0.73
Granules India Ltd.,1.61,0.87,0.43,0.69,0.66,0.76,1.1,0.86,0.3,0.49,0.34
Graphite India Ltd.,4.16,4.99,4.5,2.72,2.04,0.26,6.54,11.74,0.64,1.03,2.86
Grasim Industries Ltd.,0.75,0.87,0.54,0.53,0.49,0.48,0.86,0.9,0.38,0.52,0.63
Gravita India Ltd.,0.61,1.12,1.45,0.77,0.47,0.36,1.17,0.49,0.9,0.33,0.58
Great Eastern Shipping Co. Ltd.,2.66,2.55,3.61,2.08,3.46,2.51,2.38,1.77,3.11,4.3,2.81
Greaves Cotton Ltd.,2.56,1.96,1.67,0.85,4.08,3.97,4.5,2.94,0,0.1,0.14
Greenpanel Industries Ltd.,,,,,,,,0,0,0,0.46
Greenply Industries Ltd.,0.5,0.91,0.32,0.34,0.23,0.17,0.47,0.26,0.34,0.2,0.36
Grindwell Norton Ltd.,2.51,2.67,1.04,0.89,1.02,0.77,0.92,0.93,1.09,0.5,0.6
Gufic Biosciences Ltd.,0.61,1.02,0.31,0.11,0.08,0.04,0.06,0.08,0.04,0.05,0.05
Gujarat Alkalies & Chemicals Ltd.,2.16,1.77,2.07,2.46,1.2,0.66,1.28,2.01,2.47,1.16,1.46
Gujarat Ambuja Exports Ltd.,4.9,2.64,1.75,0,0.84,0.33,0.43,0.65,0.35,0.28,0.25
Gujarat Fluorochemicals Ltd.,,,,,,,,0,0,0,0.22
Gujarat Gas Ltd.,,,,0.88,0.44,0.36,0.63,0.35,0.34,0.3,0.44
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,4.23,4.91,4.03,0,0.82,1.04,2.28,3.61,2.37,1.7,1.82
Gujarat Pipavav Port Ltd.,0,0,0,0,2.79,2.44,3.99,4.48,6.48,4.1,5.43
Gujarat State Fertilizers & Chemicals Ltd.,2.26,4.27,1.99,3.15,2.04,1.52,2.26,2.57,1.57,1.71,1.93
Gujarat State Petronet Ltd.,1.38,1.8,0.83,0.86,0.98,0.74,0.99,0.79,1.01,0.66,0.74
Gulf Oil Lubricants India Ltd.,,,0.38,0.67,1.07,0.94,1.16,1.43,2.04,3.53,1.16
Gulshan Polyols Ltd.,1.71,3.37,2,0.83,1.02,0.85,1.14,0.64,1.34,0.36,0.42
